form,rtol,a,omega,phi,N,hopping,hopping back,onsite,next onsite,NNN overtop,NNN star,NNN square
SS-p,1.0000000000000001e-11,35.0,6.0,0.4487989505128276,51,(-0.10902539083847518-0.006390211418092567j),(-0.10902539083497018+0.0063902113626116905j),(0.04915917946789711-2.7135804020472776e-10j),(-0.022676389385437118-2.3365351960801928e-11j),(-0.022676389385702288-1.9560804208516584e-11j),(0.11086102392645134-0.007232175824766637j),(0.11086102392933392+0.007232175880934694j)
SS-p,1.0000000000000001e-11,35.0,6.1,0.4487989505128276,51,(-0.08080317970836615-0.006350953204675366j),(-0.08080317970276249+0.006350953143080637j),(0.036621394502870844-2.938929620499575e-10j),(-0.01613473167466982-2.3879753007962207e-11j),(-0.016134731675155643-2.0378949684272e-11j),(0.11185256287713893-0.010510118986481527j),(0.11185256288041968+0.010510119031558393j)
SS-p,1.0000000000000001e-11,35.0,6.2,0.4487989505128276,51,(-0.05245747743811929-0.006177448642308236j),(-0.052457477430298716+0.006177448573358491j),(0.023592687626489327-3.1609821704581265e-10j),(-0.009348053204053233-2.4329901895089316e-11j),(-0.009348053203854206-1.7903495301726154e-11j),(0.11201992483270194-0.013661129882921084j),(0.11201992483635534+0.013661129915230885j)
SS-p,1.0000000000000001e-11,35.0,6.3,0.4487989505128276,51,(-0.024178643058404045-0.0058938671116380605j),(-0.024178643048028196+0.005893867038118282j),(0.010488278162758578-3.3491014475584e-10j),(-0.0025374775528828036-2.444288746743478e-11j),(-0.002537477552928856-1.909606316229976e-11j),(0.11145210117293675-0.01667760424655134j),(0.11145210117665494+0.01667760426229374j)
SS-p,1.0000000000000001e-11,35.0,6.4,0.4487989505128276,51,(0.003868621686310089-0.005524297372619683j),(0.0038686216989640503+0.00552429729744566j),(-0.0023346666928336915-3.474316244856529e-10j),(0.004108539464394129-2.4157743597759365e-11j),(0.004108539464274209-1.9044426192174744e-11j),(0.11022971273671744-0.01955426782222642j),(0.11022971274051545+0.019554267819571827j)
SS-p,1.0000000000000001e-11,35.0,6.5,0.4487989505128276,51,(0.03153937510380303-0.005091866651683943j),(0.0315393751185207+0.005091866577875465j),(-0.014577089771606318-3.5261245052292667e-10j),(0.010433696828184383-2.349688289357101e-11j),(0.010433696828048816-1.7885776241379223e-11j),(0.10842590120280676-0.02228758244623036j),(0.1084259012065458+0.02228758242425455j)
SS-p,1.0000000000000001e-11,35.0,6.6,0.4487989505128276,51,(0.058704303789130295-0.0046180963455907074j),(0.05870430380534375+0.004618096275335465j),(-0.02599611566344821-3.509383634386909e-10j),(0.016312362247670208-2.255351211465178e-11j),(0.016312362247506394-1.9147728930314797e-11j),(0.10610727142774931-0.024875331638993553j),(0.1061072714313428+0.024875331598489515j)
SS-p,1.0000000000000001e-11,35.0,6.7,0.4487989505128276,51,(0.08524698374422338-0.0041224578241429305j),(0.08524698376145559+0.004122457758743522j),(-0.03640184005662325-3.426382060023325e-10j),(0.02164748705261823-2.1394963579379563e-11j),(0.021647487054326238-1.6597395903551906e-11j),(0.10333477665710084-0.027316339474584568j),(0.10333477666005539+0.02731633941821556j)
SS-p,1.0000000000000001e-11,35.0,6.8,0.4487989505128276,51,(0.11106219245395652-0.0036220945267294302j),(0.11106219247214644+0.0036220944646939077j),(-0.04565331682993555-3.287049382683094e-10j),(0.026368171812626448-2.026285777419693e-11j),(0.026368171813118103-1.5009464291032754e-11j),(0.10016449150239244-0.02961028484149935j),(0.10016449150584128+0.02961028476815649j)
SS-p,1.0000000000000001e-11,35.0,6.9,0.4487989505128276,51,(0.13605497608848166-0.003131680247489374j),(0.13605497611028208+0.0031316801859387067j),(-0.05365407006058119-3.1074661940855286e-10j),(0.03042704856787646-1.9134598144385653e-11j),(0.030427048569648292+4.687417508633751e-11j),(0.09664825166533811-0.03175758122066047j),(0.09664825166579472+0.031757581135343944j)
SS-p,1.0000000000000001e-11,35.0,7.0,0.4487989505128276,51,(0.16014022606770437-0.0026633871931684566j),(0.16014022608632913+0.002663387142545534j),(-0.060347356985296974-2.910616817008993e-10j),(0.03379759109115745-1.808576604349769e-11j),(0.03379759109111186-1.1689118795116839e-11j),(0.0928341601869534-0.03375929909119944j),(0.09283416019049318+0.03375929899826937j)
SS-p,1.0000000000000001e-11,35.0,7.1,0.4487989505128276,51,(0.1832425673603416-0.002226940873854888j),(0.18324256737821404+0.002226940830430249j),(-0.06571134275886319-2.706054234857813e-10j),(0.03647142984845716-1.72906634387889e-11j),(0.03647142984844901-1.3289267662280542e-11j),(0.08876697213726469-0.03561711390290287j),(0.08876697213945747+0.0356171138084601j)
SS-p,1.0000000000000001e-11,35.0,7.2,0.4487989505128276,51,(0.20529640494761414-0.0018297417543323424j),(0.20529640496496876+0.0018297417162490698j),(-0.0697543063584265-2.511059103704749e-10j),(0.03845572691068616-1.6568576453356435e-11j),(0.038455726910711564-1.1210713733921781e-11j),(0.08448837576125309-0.03733326736455184j),(0.08448837576304272+0.03733326726709006j)
SS-p,1.0000000000000001e-11,35.0,7.3,0.4487989505128276,51,(0.22624601351276283-0.0014770362896688455j),(0.22624601352936072+0.001477036256511119j),(-0.07250997008646759-2.3228379983364356e-10j),(0.039770652306130194-1.6043595509046456e-11j),(0.0397706523061265-1.0908452548746866e-11j),(0.08003719059975783-0.038910533585126826j),(0.08003719060156553+0.038910533486310184j)
SS-p,1.0000000000000001e-11,35.0,7.4,0.4487989505128276,51,(0.2460455888458404-0.0011721222307600754j),(0.24604558886164493+0.0011721222022916117j),(-0.07403302669780873-2.1553868065349313e-10j),(0.04044699430406291-1.565759907747074e-11j),(0.04044699430407391-1.0665704298042329e-11j),(0.0754495029689657-0.04035218463931964j),(0.07544950297046904+0.04035218454102685j)
SS-p,1.0000000000000001e-11,35.0,7.5,0.4487989505128276,51,(0.26465920762620476-0.0009165751461071708j),(0.26465920764120837+0.0009165751215604451j),(-0.074394924078594-2.0060874489358227e-10j),(0.04052392930374789-1.5411492692017973e-11j),(0.040523929303731276-1.058171834848376e-11j),(0.07075875767554496-0.04166195245797767j),(0.070758757676816+0.041661952360991655j)
SS-p,1.0000000000000001e-11,35.0,7.6,0.4487989505128276,51,(0.282060665283629-0.0007104850938649543j),(0.28206066529789187+0.0007104850727325529j),(-0.07367995521266157-1.878209150707466e-10j),(0.04004697126639935-1.5224028017723662e-11j),(0.0400469712664169-1.0814868440601193e-11j),(0.06599582235021399-0.04284398567576095j),(0.06599582235138808+0.04284398558033917j)
SS-p,1.0000000000000001e-11,35.0,7.7,0.4487989505128276,51,(0.29823318023961576-0.0005526942001087276j),(0.29823318025317724+0.0005526941820770265j),(-0.07198168978256869-1.7627545603748906e-10j),(0.039066115190971834-1.5132763741034297e-11j),(0.039066115191006376-1.0500682604835681e-11j),(0.06118903798007755-0.04390280130839266j),(0.06118903798110442+0.04390280121490747j)
SS-p,1.0000000000000001e-11,35.0,7.8,0.4487989505128276,51,(0.3131689668725165-0.00044102764628449476j),(0.31316896688548784+0.0004410276303642574j),(-0.06939977235572387-1.664986967742088e-10j),(0.03763418380677945-1.5110320619537526e-11j),(0.037634183806787735-1.008257900998216e-11j),(0.05636426619284425-0.04484323205222444j),(0.05636426619377509+0.044843231960475294j)
SS-p,1.0000000000000001e-11,35.0,7.9,0.4487989505128276,51,(0.3268686898845997-0.00037251221970791004j),(0.3268686898969677+0.00037251220643520766j),(-0.06603710116170962-1.5808132580730216e-10j),(0.035805381401970635-1.505997374854777e-11j),(0.03580538140196904-1.029119893479691e-11j),(0.051544941036253386-0.045670370437592596j),(0.0515449410370629+0.04567037034806981j)
SS-p,1.0000000000000001e-11,35.0,8.0,0.4487989505128276,51,(0.33934081947478484-0.00034357809905381786j),(0.3393408194866085+0.0003435780879539052j),(-0.06199739084943468-1.5074716822049972e-10j),(0.03363405371606108-1.5101670613279984e-11j),(0.03363405371604408-1.0596775061025942e-11j),(0.046752130347284995-0.04638951138433458j),(0.04675213034796896+0.04638951129715114j)
SS-p,1.0000000000000001e-11,35.0,8.1,0.4487989505128276,51,(0.35060091060842763-0.0003502409428718656j),(0.35060091061980864+0.0003502409333061285j),(-0.057383112914160574-1.4463158448663194e-10j),(0.03117364821341453-1.5108844392250596e-11j),(0.03117364821342316-1.0454137986840126e-11j),(0.04200460962177411-0.04700609474690709j),(0.042004609622395744+0.047006094661361145j)
SS-p,1.0000000000000001e-11,35.0,8.2,0.4487989505128276,51,(0.3606708310659099-0.00038826256810442494j),(0.36067083107681275+0.0003882625605637763j),(-0.05229379907672221-1.3890621639034428e-10j),(0.02847586508794095-1.523136621304535e-11j),(0.02847586508794307-1.0542129598369309e-11j),(0.037318949413896484-0.04752564933801577j),(0.037318949414422306+0.04752564925470266j)
SS-p,1.0000000000000001e-11,35.0,8.3,0.4487989505128276,51,(0.3695779625606321-0.00045328955185144904j),(0.3695779625711267+0.00045328954592811777j),(-0.046824685793747586-1.342022291905831e-10j),(0.025589986105368653-1.5335745330329694e-11j),(0.025589986105382503-1.0714228839822794e-11j),(0.032709615890568686-0.047953739751137134j),(0.03270961589104622+0.04795373966973177j)
SS-p,1.0000000000000001e-11,35.0,8.4,0.4487989505128276,51,(0.37735439726391407-0.000540969952297507j),(0.37735439727408704+0.0005409699476803254j),(-0.0410656728513763-1.3019263965519112e-10j),(0.02256236594927071-1.5375136509787e-11j),(0.022562365949270753-1.0799645047908425e-11j),(0.028189083099504013-0.048295917033531935j),(0.028189083099881197+0.048295916953789694j)
SS-p,1.0000000000000001e-11,35.0,8.5,0.4487989505128276,51,(0.3840361494327047-0.0006470490329457401j),(0.3840361494425348+0.0006470490294080838j),(-0.035100565098378-1.2664112553767426e-10j),(0.01943606910796647-1.557352799979471e-11j),(0.019436069107993587-1.076078900100348e-11j),(0.023767954888007127-0.04855767401603543j),(0.023767954888331534+0.04855767393789465j)
SS-p,1.0000000000000001e-11,35.0,8.6,0.4487989505128276,51,(0.389662398447434-0.0007674453619731236j),(0.38966239845695244+0.0007674453595624964j),(-0.02900656447776316-1.2348773479470276e-10j),(0.016250634540626384-1.5679225858669966e-11j),(0.016250634540631963-1.1082589749913903e-11j),(0.019455093934647484-0.048744405822647406j),(0.019455093934944327+0.048744405746299985j)
SS-p,1.0000000000000001e-11,35.0,8.7,0.4487989505128276,51,(0.39427477615631173-0.0008983090282668887j),(0.3942747761655382+0.0008983090269630151j),(-0.02285397856802614-1.2083585260863616e-10j),(0.013041950183725767-1.5818908840726105e-11j),(0.013041950183746431-1.1341457347322112e-11j),(0.015257755317788075-0.04886137582765477j),(0.01525775531796758+0.04886137575293774j)
SS-p,1.0000000000000001e-11,35.0,8.8,0.4487989505128276,51,(0.39791670793199807-0.0010360639071029243j),(0.39791670794101996+0.001036063906562086j),(-0.016706112531266536-1.1880620272297637e-10j),(0.009842219837478917-1.5984384277386417e-11j),(0.00984221983749895-1.134402149028035e-11j),(0.01118172202115906-0.048913687116931774j),(0.011181722021295358+0.04891368704333948j)
SS-p,1.0000000000000001e-11,35.0,8.9,0.4487989505128276,51,(0.4006328137145124-0.001177436006741528j),(0.40063281372328063+0.001177436007145538j),(-0.010619312694250205-1.1671648174858829e-10j),(0.00668000586399807-1.6094932960087725e-11j),(0.0066800058640061055-1.1471861663775225e-11j),(0.007231440037327049-0.04890625935017712j),(0.007231440037424229+0.048906259277994954j)
SS-p,1.0000000000000001e-11,35.0,9.0,0.4487989505128276,51,(0.4024683724449306-0.0013194699260238585j),(0.4024683724534845+0.0013194699270986099j),(-0.004643132306902108-1.1499968555553353e-10j),(0.0035803324134599974-1.6342741538220217e-11j),(0.0035803324134808696-1.1875133555696053e-11j),(0.0034101509219235165-0.048843810716851815j),(0.0034101509219421687+0.04884381064627627j)
SS-p,1.0000000000000001e-11,35.0,9.1,0.4487989505128276,51,(0.4034688508850312-0.0014595353751947135j),(0.40346885089343+0.0014595353769140326j),(0.0011794074551715315-1.137998593877523e-10j),(0.0005648353326989878-1.646029755588153e-11j),(0.0005648353327006965-1.188997086507813e-11j),(-0.00027997991351643575-0.04873084466235414j),(-0.0002799799135060751+0.04873084459267883j)
SS-p,1.0000000000000001e-11,35.0,9.2,0.4487989505128276,51,(0.4036794959142283-0.0015953255888777607j),(0.40367949592244046+0.0015953255914924191j),(0.00681148505774189-1.1262003460875414e-10j),(-0.0023480534457605545-1.6600742588955687e-11j),(-0.002348053445780457-1.218216552105103e-11j),(-0.003837740634497835-0.048571640888404134j),(-0.0038377406345430254+0.04857164081996839j)
SS-p,1.0000000000000001e-11,35.0,9.3,0.4487989505128276,51,(0.40314498776676655-0.0017248492997248809j),(0.40314498777478885+0.001724849303007557j),(0.012222095618670659-1.1150670935645285e-10j),(-0.005142897640066951-1.6844912864634354e-11j),(-0.00514289764007253-1.234392456612773e-11j),(-0.0072627571807821895-0.048370250201491514j),(-0.0072627571808541866+0.04837025013433788j)
SS-p,1.0000000000000001e-11,35.0,9.4,0.4487989505128276,51,(0.4019091506441702-0.0018464177556542678j),(0.4019091506520878+0.0018464177594559213j),(0.017385635103788707-1.1107833728339622e-10j),(-0.007807033454307121-1.6997545383213682e-11j),(-0.0078070334543120685-1.2363068836817703e-11j),(-0.010555385019760123-0.0481304926703928j),(-0.010555385019913585+0.048130492603869j)
SS-p,1.0000000000000001e-11,35.0,9.5,0.4487989505128276,51,(0.40001471633948077-0.0019586280889819802j),(0.40001471634728764+0.001958628093038938j),(0.022281466603694434-1.1059768162055561e-10j),(-0.010330338989045163-1.714316750100519e-11j),(-0.01033033898904295-1.2618663453535068e-11j),(-0.01371660889556079-0.04785595862662702j),(-0.013716608895785309+0.04785595856106735j)
SS-p,1.0000000000000001e-11,35.0,9.6,0.4487989505128276,51,(0.39750313600295106-0.002060344143282756j),(0.3975031360106827+0.0020603441470066946j),(0.02689348084176177-1.1052401046240598e-10j),(-0.012705002296110296-1.730693149086286e-11j),(-0.012705002296133437-1.2495086189086721e-11j),(-0.016747950815551246-0.04755001204298235j),(-0.016747950815742537+0.047550011977902956j)
SS-p,1.0000000000000001e-11,35.0,9.7,0.4487989505128276,51,(0.3944144350819868-0.002150675700356191j),(0.3944144350895773+0.0021506757051858102j),(0.03120966067167461-1.1011401892298961e-10j),(-0.014925292887062468-1.7468059610924012e-11j),(-0.014925292887068363-1.2956956599655431e-11j),(-0.019651386280123098-0.04721579583446283j),(-0.019651386280417855+0.047215795770589014j)
SS-p,1.0000000000000001e-11,35.0,9.8,0.4487989505128276,51,(0.39078710630199237-0.0022289568866889695j),(0.39078710630955366+0.0022289568917352983j),(0.03522165708584614-1.1038804722737772e-10j),(-0.016987340411061994-1.761256071626642e-11j),(-0.016987340411061678-1.280002061434615e-11j),(-0.02242926856395924-0.0468562386800228j),(-0.02242926856426659+0.046856238616448935j)
SS-p,1.0000000000000001e-11,35.0,9.9,0.4487989505128276,51,(0.3866580358702166-0.0022947243636698787j),(0.3866580358776834+0.0022947243686690204j),(0.038924382468128745-1.1044838502984045e-10j),(-0.01888892322159783-1.7777108766193035e-11j),(-0.01888892322157504-1.3227469273294953e-11j),(-0.025084260855799994-0.046474063045264746j),(-0.025084260856160095+0.04647406298272941j)
SS-p,1.0000000000000001e-11,35.0,10.0,0.4487989505128276,51,(0.382062458191813-0.002347695816027163j),(0.3820624581992337+0.0023476958217182355j),(0.04231562514501103-1.1098937524253727e-10j),(-0.02062926879761003-1.796876685631477e-11j),(-0.02062926879760644-1.321817264530882e-11j),(-0.027619275765004104-0.04607179405985125j),(-0.02761927576530907+0.04607179399770454j)
SS-p,1.0000000000000001e-11,35.0,10.1,0.4487989505128276,51,(0.3770339347711703-0.0023877491018962083j),(0.37703393477857616+0.0023877491078715014j),(0.04539568794609143-1.1180913963779182e-10j),(-0.022208867253980177-1.807503825127685e-11j),(-0.02220886725398156-1.3328648686212673e-11j),(-0.030037421809732692-0.045651768959464115j),(-0.030037421810125465+0.04565176889755844j)
SS-p,1.0000000000000001e-11,35.0,10.2,0.4487989505128276,51,(0.37160435337355235-0.0024149023452582283j),(0.37160435338091075+0.002414902351563386j),(0.048167052467141-1.1237972618455272e-10j),(-0.02362929865437464-1.8242980724645757e-11j),(-0.023629298654376053-1.3450066730435657e-11j),(-0.03234195639972094-0.04521614691996474j),(-0.032341956400113225+0.04521614685866982j)
SS-p,1.0000000000000001e-11,35.0,10.3,0.4487989505128276,51,(0.36580394383049436-0.00242929517019963j),(0.36580394383783116+0.0024292951772822563j),(0.050634069734978776-1.1316300240621358e-10j),(-0.024893074397307532-1.8448532072700588e-11j),(-0.024893074397335666-1.3578375479069404e-11j),(-0.034536244759374626-0.044766919045931976j),(-0.03453624475979298+0.044766918985122355j)
SS-p,1.0000000000000001e-11,35.0,10.4,0.4487989505128276,51,(0.35966130733335744-0.0024311712003190003j),(0.35966130734065344+0.0024311712073809832j),(0.05280267733254416-1.1388060199707395e-10j),(-0.026003492589009695-1.853817574285239e-11j),(-0.026003492589003443-1.4192635505094422e-11j),(-0.036623724298220625-0.044305918333804525j),(-0.03662372429871958+0.044305918273938184j)
SS-p,1.0000000000000001e-11,35.0,10.5,0.4487989505128276,51,(0.3532034564416347-0.00242086190201498j),(0.35320345644893975+0.0024208619094399086j),(0.05468014252328263-1.1523849929861996e-10j),(-0.026964507063492103-1.8628284937236595e-11j),(-0.026964507063509145-1.4048723231862145e-11j),(-0.03860787393639653-0.04383482957387577j),(-0.038607873936816105+0.04383482951402135j)
SS-p,1.0000000000000001e-11,35.0,10.6,0.4487989505128276,51,(0.34645586331207845-0.0023987717908252673j),(0.3464558633194543+0.0023987717983139714j),(0.05627483040228176-1.1673345623464115e-10j),(-0.027780609507753313-1.876799248832276e-11j),(-0.027780609507722473-1.4082154360694567e-11j),(-0.04049218785150005-0.04335519896595053j),(-0.04049218785195095+0.04335519890630496j)
SS-p,1.0000000000000001e-11,35.0,10.7,0.4487989505128276,51,(0.33944251413882853-0.0023653650004091253j),(0.33944251414623944+0.0023653650082493746j),(0.05759599599452934-1.1817838721506213e-10j),(-0.028456724030263933-1.8931455765621162e-11j),(-0.028456724030219434-1.4340911553920129e-11j),(-0.04228015321252012-0.04286844346918119j),(-0.04228015321305392+0.042868443409928146j)
SS-p,1.0000000000000001e-11,35.0,10.8,0.4487989505128276,51,(0.33218596797774474-0.0023211531893766943j),(0.3321859679851859+0.002321153197712568j),(0.05865359883937139-1.2002025588653265e-10j),(-0.028998113407703315-1.897144971757756e-11j),(-0.028998113407685547-1.4545193457615362e-11j),(-0.04397523143186083-0.0423758597925355j),(-0.04397523143241146+0.042375859733341556j)
SS-p,1.0000000000000001e-11,35.0,10.9,0.4487989505128276,51,(0.3247074184676819-0.0022666847101558626j),(0.3247074184751577+0.0022666847187273256j),(0.05945813860553902-1.217739884623592e-10j),(-0.02941029618591977-1.9077810070355947e-11j),(-0.029410296185937324-1.4439388926624235e-11j),(-0.04558084256695832-0.04187863295818217j),(-0.04558084256749806+0.04187863289908228j)
